"","res_name"
"66","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"67","NAG_NDG_A2G_NGA_MAG"
"68","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"69","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"70","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"71","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"72","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"73","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"74","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"75","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"76","F6P"
"77","AMP_5GP_CMP_IMP_PCG_XMP"
"78","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"79","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"80","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"81","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"82","FAD_FDA"
"83","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"84","NAG_NDG_A2G_NGA_MAG"
"85","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"86","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"87","NAG_NDG_A2G_NGA_MAG"
"88","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"89","PLP_PMP_PLR"
"90","FAD_FDA"
"91","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"92","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"93","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"94","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"95","ZN"
"96","NAG_NDG_A2G_NGA_MAG"
"97","MN"
"98","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"99","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"100","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"101","HEM"
"102","TRS"
"103","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"104","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"105","HEM"
"106","PLP_PMP_PLR"
"107","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"108","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"109","MG"
"110","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"111","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"112","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"113","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"114","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"115","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"116","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"117","NAG_NDG_A2G_NGA_MAG"
"118","HEM"
"119","NAG_NDG_A2G_NGA_MAG"
"120","CA"
"121","ZN"
"122","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"123","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"124","HEM"
"125","NAG_NDG_A2G_NGA_MAG"
"126","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"127","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"128","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"129","CA"
"130","HEM"
"131","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"132","MES"
"133","ZN"
"134","FE"
"135","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"136","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"137","NAG_NDG_A2G_NGA_MAG"
"138","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"139","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"140","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"141","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"142","EDO_BME_ETA"
"143","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"144","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"145","FMN_RBF"
"146","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"147","NAG_NDG_A2G_NGA_MAG"
"148","AMP_5GP_CMP_IMP_PCG_XMP"
"149","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"150","NAG_NDG_A2G_NGA_MAG"
"151","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"152","CA"
"153","MN"
"154","BR"
"155","NDP_NAI"
"156","EDO_BME_ETA"
"157","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"158","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"159","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"160","BEN_BAM"
"161","NAG_NDG_A2G_NGA_MAG"
"162","CA"
"163","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"164","HEM"
"165","CL"
"166","CL"
"167","CL"
"168","CL"
"169","CL"
"170","HEM"
"171","NAG_NDG_A2G_NGA_MAG"
"172","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"173","NAG_NDG_A2G_NGA_MAG"
"174","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"175","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"176","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"177","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"178","NAG_NDG_A2G_NGA_MAG"
"179","FMN_RBF"
"180","CIT_FLC_NCD"
"181","CIT_FLC_NCD"
"182","ZN"
"183","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"184","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"185","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"186","NAG_NDG_A2G_NGA_MAG"
"187","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"188","NAG_NDG_A2G_NGA_MAG"
"189","CIT_FLC_NCD"
"190","FAD_FDA"
"191","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"192","MG"
"193","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"194","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"195","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"196","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"197","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"198","NDP_NAI"
"199","MN"
"200","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"201","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"202","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"203","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"204","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"205","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"206","FMN_RBF"
"207","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"208","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"209","MG"
"210","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"211","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"212","PEG_DEP"
"213","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"214","MG"
"215","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"216","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"217","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"218","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"219","EDO_BME_ETA"
"220","HEM"
"221","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"222","HEM"
"223","HEM"
"224","NAG_NDG_A2G_NGA_MAG"
"225","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"226","NAG_NDG_A2G_NGA_MAG"
"227","CIT_FLC_NCD"
"228","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"229","NAG_NDG_A2G_NGA_MAG"
"230","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"231","PLP_PMP_PLR"
"232","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"233","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"234","NAG_NDG_A2G_NGA_MAG"
"235","ZN"
"236","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"237","FAD_FDA"
"238","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"239","HEM"
"240","CL"
"241","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"242","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"243","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"244","A3P"
"245","NAG_NDG_A2G_NGA_MAG"
"246","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"247","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"248","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"249","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"250","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"251","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"252","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"253","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"254","NDP_NAI"
"255","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"256","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"257","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"258","CL"
"259","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"260","HEM"
"261","NAG_NDG_A2G_NGA_MAG"
"262","NAG_NDG_A2G_NGA_MAG"
"263","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"264","CIT_FLC_NCD"
"265","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"266","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"267","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"268","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"269","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"270","PG4_SPM_DAO_D12_PG5"
"271","MG"
"272","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"273","CA"
"274","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"275","NAG_NDG_A2G_NGA_MAG"
"276","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"277","FAD_FDA"
"278","ZN"
"279","ZN"
"280","CA"
"281","NAG_NDG_A2G_NGA_MAG"
"282","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"283","CXS_DKA_S9L"
"284","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"285","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"286","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"287","MG"
"288","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"289","FAD_FDA"
"290","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"291","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"292","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"293","HEM"
"294","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"295","CSD"
"296","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"297","NAG_NDG_A2G_NGA_MAG"
"298","HEM"
"299","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"300","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"301","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"302","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"303","NAG_NDG_A2G_NGA_MAG"
"304","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"305","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"306","AMP_5GP_CMP_IMP_PCG_XMP"
"307","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"308","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"309","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"310","MG"
"311","MG"
"312","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"313","HEM"
"314","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"315","NAG_NDG_A2G_NGA_MAG"
"316","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"317","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"318","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"319","OCS"
"320","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"321","NAG_NDG_A2G_NGA_MAG"
"322","HEM"
"323","EDO_BME_ETA"
"324","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"325","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"326","U5P_C5P_TMP_UMP_UP6_2YR"
"327","EDO_BME_ETA"
"328","MG"
"329","MG"
"330","NAG_NDG_A2G_NGA_MAG"
"331","MG"
"332","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"333","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"334","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"335","NAG_NDG_A2G_NGA_MAG"
"336","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"337","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"338","ZN"
"339","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"340","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"341","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"342","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"343","HEM"
"344","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"345","NDP_NAI"
"346","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"347","EDO_BME_ETA"
"348","NAG_NDG_A2G_NGA_MAG"
"349","HEM"
"350","DHT_TES_STR_ASD"
"351","MG"
"352","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"353","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"354","FAD_FDA"
"355","ZN"
"356","NAG_NDG_A2G_NGA_MAG"
"357","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"358","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"359","LMT_DMU_MA4_UMQ_LMU_CM5"
"360","BCL_BPH_BPB_PHO"
"361","BCL_BPH_BPB_PHO"
"362","BCL_BPH_BPB_PHO"
"363","CL"
"364","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"365","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"366","NAG_NDG_A2G_NGA_MAG"
"367","CSD"
"368","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"369","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"370","HEM"
"371","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"372","NAG_NDG_A2G_NGA_MAG"
"373","EDO_BME_ETA"
"374","FAD_FDA"
"375","CA"
"376","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"377","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"378","AMP_5GP_CMP_IMP_PCG_XMP"
"379","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"380","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"381","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"382","FMN_RBF"
"383","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"384","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"385","CIT_FLC_NCD"
"386","NAG_NDG_A2G_NGA_MAG"
"387","MLI_MLA_IVA_ASJ"
"388","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"389","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"390","CA"
"391","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"392","FMN_RBF"
"393","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"394","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"395","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"396","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"397","NAG_NDG_A2G_NGA_MAG"
"398","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"399","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"400","FAD_FDA"
"401","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"402","NAG_NDG_A2G_NGA_MAG"
"403","HEM"
"404","PLP_PMP_PLR"
"405","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"406","FE"
"407","FAD_FDA"
"408","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"409","NAG_NDG_A2G_NGA_MAG"
"410","FAD_FDA"
"411","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"412","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"413","MG"
"414","MG"
"415","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"416","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"417","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"418","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
