{'n_estimators': 30, 'criterion': 'gini', 'max_depth': None}
               precision    recall  f1-score   support
         CU       0.60      0.14      0.23        21
        CU1       0.00      0.00      0.00         1
        DAL       0.00      0.00      0.00         2
        DCP       0.00      0.00      0.00         3
        DGT       0.00      0.00      0.00         1
        DHT       0.00      0.00      0.00         2
        DIO       0.00      0.00      0.00         4
        DMS       0.00      0.00      0.00        11
        DMU       1.00      0.50      0.67         2
        DOC       0.00      0.00      0.00         3
        DTP       0.00      0.00      0.00         1
        DTT       0.00      0.00      0.00         3
        EDO       0.27      0.27      0.27        64
        EPE       0.58      0.33      0.42        21
        F3S       0.33      0.33      0.33         3
        F6P       0.00      0.00      0.00         2
        FAD       0.58      0.87      0.69        38
        FBP       0.00      0.00      0.00         2
         FE       0.67      0.07      0.13        28
        FE2       0.00      0.00      0.00        16
        FES       0.67      0.75      0.71         8
        FLC       0.00      0.00      0.00         7
        FME       1.00      0.33      0.50         3
        FMN       0.67      0.63      0.65        19
        FMT       0.00      0.00      0.00         9
        FOL       0.00      0.00      0.00         2
        FUC       0.00      0.00      0.00         8
        GAL       0.00      0.00      0.00         6
        GDP       0.67      0.13      0.22        15
        GLA       0.00      0.00      0.00         1
        GLC       0.00      0.00      0.00        16
        GNP       0.20      0.33      0.25         9
        GOL       0.37      0.73      0.49       203
        GPP       0.00      0.00      0.00         4
        GSH       0.33      0.17      0.22         6
        GSP       0.00      0.00      0.00         1
        GSW       0.00      0.00      0.00         2
        GTP       0.00      0.00      0.00        12
        GTT       0.00      0.00      0.00         2
        GTX       0.00      0.00      0.00         2
        H4B       0.43      0.50      0.46         6
        HC4       0.00      0.00      0.00         2
        HEC       0.00      0.00      0.00         4
        HED       0.00      0.00      0.00         4
        HEM       0.63      0.84      0.72        64
        HEZ       0.00      0.00      0.00         3
         HG       0.50      0.29      0.36         7
        HIC       0.00      0.00      0.00         1
        HYP       0.00      0.00      0.00         2
        IDS       0.00      0.00      0.00         2
        IHP       0.00      0.00      0.00         1
        IMD       0.00      0.00      0.00         7
        IMP       0.00      0.00      0.00         3
        IOD       0.46      0.50      0.48        12
        IPA       0.00      0.00      0.00         4
        IPH       0.00      0.00      0.00         2
          K       0.25      0.08      0.12        24
        KAI       0.00      0.00      0.00         1
        KCX       0.00      0.00      0.00         2
        LAT       0.00      0.00      0.00         2
        LDA       0.00      0.00      0.00         2
        LLP       0.67      0.67      0.67         3
        LMT       0.00      0.00      0.00         6
        M3L       0.00      0.00      0.00         3
        MAL       0.25      0.20      0.22         5
        MAN       0.00      0.00      0.00        14
        MBO       0.00      0.00      0.00         0
        MES       0.23      0.37      0.29        19
         MG       0.22      0.17      0.19        94
        MLA       0.00      0.00      0.00         3
        MLI       0.00      0.00      0.00         2
        MLY       0.40      0.67      0.50         3
        MLZ       0.00      0.00      0.00         2
         MN       0.50      0.13      0.21        54
        MPD       0.00      0.00      0.00        19
        MRD       0.00      0.00      0.00         7
        MRG       0.00      0.00      0.00         1
        MTX       0.00      0.00      0.00         1
        NAD       0.42      0.28      0.33        18
        NAG       0.31      0.56      0.40        93
        NAI       0.00      0.00      0.00         3
        NAP       0.21      0.29      0.24        21
        NCO       0.00      0.00      0.00         3
        NDG       0.00      0.00      0.00         4
        NDP       0.20      0.07      0.11        14
        NGT       0.00      0.00      0.00         1
        NHE       0.00      0.00      0.00         4
         NI       0.00      0.00      0.00        13
        NLE       0.00      0.00      0.00         4
        NO3       0.00      0.00      0.00         8
        NRQ       0.33      0.33      0.33         3
        OCS       0.00      0.00      0.00         4
        OLC       0.00      0.00      0.00         2
        P6G       0.00      0.00      0.00         7
        PCA       0.29      0.20      0.24        10
        PE4       0.00      0.00      0.00         1
        PEG       0.10      0.05      0.06        22
        PEP       0.00      0.00      0.00         1
        PG4       0.15      0.09      0.11        22
        PGE       0.00      0.00      0.00         8
        PLM       0.00      0.00      0.00         3
        PLP       0.57      0.50      0.53        24
        PO4       0.14      0.08      0.10        60
        POP       0.00      0.00      0.00         3
         PT       0.00      0.00      0.00         1
        PTR       0.00      0.00      0.00         6
        PYR       0.00      0.00      0.00         3
        RET       0.00      0.00      0.00         2
        S9L       0.00      0.00      0.00         1
        SAH       0.30      0.25      0.27        12
        SAM       0.00      0.00      0.00         3
        SCN       0.00      0.00      0.00         1
        SEP       0.07      0.11      0.09         9
        SF4       0.73      0.80      0.76        10
        SGN       0.00      0.00      0.00         2
        SIA       0.00      0.00      0.00         5
        SIN       0.00      0.00      0.00         1
        SNC       0.00      0.00      0.00         1
        SO4       0.60      0.78      0.68       315
         SR       0.00      0.00      0.00         2
        SRM       1.00      0.50      0.67         2
        SRT       0.00      0.00      0.00         1
        STU       0.00      0.00      0.00         2
        SUC       0.00      0.00      0.00         2
        TAR       0.00      0.00      0.00         3
        TES       0.33      1.00      0.50         1
        THP       1.00      1.00      1.00         2
         TL       0.00      0.00      0.00         0
        TLA       0.50      0.12      0.20         8
        TPO       0.45      0.56      0.50         9
        TPP       0.00      0.00      0.00         3
        TRS       0.00      0.00      0.00        13
        TTP       0.00      0.00      0.00         3
        TYS       0.00      0.00      0.00         3
        U10       0.00      0.00      0.00         1
        U5P       0.00      0.00      0.00         3
        UDP       0.00      0.00      0.00         9
        UMP       0.00      0.00      0.00         5
        UMQ       0.00      0.00      0.00         1
        UPG       0.00      0.00      0.00         1
        UTP       0.00      0.00      0.00         1
        VO4       0.00      0.00      0.00         1
        XYP       0.00      0.00      0.00         4
        XYS       0.00      0.00      0.00         2
         YB       1.00      1.00      1.00         1
         ZN       0.63      0.76      0.69       213

avg / total       0.35      0.41      0.36      2562
